準;ジュン;じゅん.じる,じゅん.ずる,なぞら.える,のり,ひと.しい,みずもり;semi-, correspond to, proportionate to, conform, imitate
純;ジュン;;genuine, purity, innocence, net (profit)
順;ジュン;;obey, order, turn, right, docility, occasion
署;ショ;;signature, govt office, police station
諸;ショ;もろ;various, many, several, together
召;ショウ;め.す;seduce, call, send for, wear, put on, ride in, buy, eat, drink, catch (cold)
将;ショウ,ソウ;まさ.に,はた,まさ,ひきい.る,もって;leader, commander, general, admiral, or, and again, soon, from now on, just about
床;ショウ;とこ,ゆか;bed, counter for beds, floor, padding, tatami
承;ショウ,ジョウ;うけたまわ.る,う.ける,ささ.げる,とど.める,たす.ける,こ.らす,つい.で,すく.う;acquiesce, hear, listen to, be informed, receive
昇;ショウ;のぼ.る;rise up
焼;ショウ;や.く,や.き,や.き-,-や.き,や.ける;bake, burning
照;ショウ;て.る,て.らす,て.れる;illuminate, shine, compare, bashful
省;セイ,ショウ;かえり.みる,はぶ.く;focus, government ministry, conserve
章;ショウ;;badge, chapter, composition, poem, design
紹;ショウ;;introduce, inherit, help
象;ショウ,ゾウ;かたど.る;elephant, pattern after, imitate, image, shape, sign (of the times)
賞;ショウ;ほ.める;prize, reward, praise
城;ジョウ;しろ;castle
畳;ジョウ,チョウ;たた.む,たたみ,かさ.なる;tatami mat, counter for tatami mats, fold, shut up, do away with
蒸;ジョウ,セイ;む.す,む.れる,む.らす;steam, heat, sultry, foment, get musty
植;ショク;う.える,う.わる;plant
触;ショク;ふ.れる,さわ.る,さわ;contact, touch, feel, hit, proclaim, announce, conflict
伸;シン;の.びる,の.ばす,の.べる,の.す;expand, stretch, extend, lengthen, increase
森;シン;もり;forest, woods
臣;シン,ジン;;retainer, subject
辛;シン;から.い,つら.い,-づら.い,かのと;spicy, bitter, hot, acrid
針;シン;はり;needle, pin, staple, stinger
震;シン;ふる.う,ふる.える;quake, shake, tremble, quiver, shiver
勢;セイ,ゼイ;いきお.い,はずみ;forces, energy, military strength
姓;セイ,ショウ;;surname
星;セイ,ショウ;ほし,-ぼし;star, spot, dot, mark
清;セイ,ショウ,シン;きよ.い,きよ.まる,きよ.める;pure, purify, cleanse, exorcise, Manchu dynasty
税;ゼイ;;tax, duty
隻;セキ;;vessels, counter for ships, fish, birds, arrows, one of a pair
籍;セキ;;enroll, domiciliary register, membership
績;セキ;;exploits, unreeling cocoons
跡;セキ;あと;tracks, mark, print, impression
接;セツ,ショウ;つ.ぐ;touch, contact, adjoin, piece together
設;セツ;もう.ける;establishment, provision, prepare
占;セン;し.める,うらな.う;fortune-telling, divining, forecasting, occupy, hold, have, get, take
専;セン;もっぱ.ら;specialty, exclusive, mainly, solely
泉;セン;いずみ;spring, fountain
浅;セン;あさ.い;shallow, superficial, frivolous, wretched, shameful
線;セン;すじ;line, track
双;ソウ;ふた,たぐい,ならぶ,ふたつ;pair, set, comparison, counter for pairs
層;ソウ;;stratum, social class, layer, story, floor
捜;ソウ,シュ,シュウ;さが.す;search, look for, locate
掃;ソウ,シュ;は.く;sweep, brush
